"s0" "s1" "s2" "s3" "s4" "s5"
"OTU1" 50 52 52 0 49 0
"OTU2" 0 0 53 47 0 11
"OTU3" 38 45 50 0 0 0
"OTU4" 0 31 47 50 40 17
"OTU5" 41 48 36 0 50 0
"OTU6" 51 54 45 41 39 15
"OTU7" 0 0 0 47 40 20
"OTU8" 39 0 48 43 46 12
"OTU9" 49 41 46 0 50 0
"OTU10" 40 57 35 51 49 15
"OTU11" 36 36 52 43 41 14
"OTU12" 48 38 46 56 48 14
"OTU13" 46 0 44 46 45 17
"OTU14" 38 57 34 40 48 22
"OTU15" 0 46 49 0 36 0
"OTU16" 50 48 49 0 51 0
"OTU17" 54 0 0 43 0 20
"OTU18" 42 42 54 0 50 0
"OTU19" 0 48 0 52 51 23
"OTU20" 0 35 49 0 52 0
